from,to
vit_07s0005g03340,vit_07s0005g03340
vit_05s0049g01020,vit_05s0049g01020
vit_16s0100g01010<br>vit_16s0100g00950<br>vit_16s0100g01030<br>vit_16s0100g00990,vit_16s0100g01010<br>vit_16s0100g00950<br>vit_16s0100g01030<br>vit_16s0100g00990
vit_16s0100g01130,vit_16s0100g01130
vit_16s0100g01160,vit_16s0100g01160
vit_16s0100g01200<br>vit_16s0100g01070,vit_16s0100g01200<br>vit_16s0100g01070
vit_01s0010g02020,vit_01s0010g02020
vit_04s0023g02570,vit_04s0023g02570
vit_06s0004g07740,vit_06s0004g07740
vit_06s0004g07750,vit_06s0004g07750
vit_06s0004g07770,vit_06s0004g07770
vit_12s0055g01000,vit_12s0055g01000
vit_12s0055g01020,vit_12s0055g01020